Counties,Average wages per employee by county from 2007-2015,Annual Wages Per Employee 2007,Annual Wages Per Employee 2015,Total employment change by county from 2007-2015,Annual Average Employment 2007,Annual Average Employment 2015,Percent change in poverty rate by county,Poverty Rate 2007,Poverty Rate 2015,Percent change in household income by county from 2007-2015,Household Median income (dollars) 2007,Household Median income (dollars) 2015,% 95/20 Ratio Change 2007-2014,Lowest Quintile,Second Quintile,Third Quintile,Fourth Quintile,Highest Quintile,Top 5 Percent,95/20 Gap 2007,95/20 Gap 2014
Alachua,4.6,"41,674","43,598",-1.1,"124,701","123,345",-6.5,23.2,21.7,9.6,"43,717","47,895",8.3,-15,-4.4,-2.6,-3.7,-5.6,-7.9,45,48.8
Baker,-2.0,"32,394","31,746",-5.3,"7,497","7,102",,16.6,,,"49,678",,14.1,-2.1,-3.4,-2.6,2.2,12,11.7,17.3,19.8
Bay,-2.6,"38,809","37,790",4.2,"73,134","76,182",26.7,13.2,16.8,-8.4,"52,705","48,259",1.1,-13,-9.2,-9.5,-9,-7.9,-12,19.9,20.1
Bradford,4.2,"34,333","35,763",-12.4,"7,317","6,409",,13,,,"46,938",,15,-17.3,-26.4,-16,-5.5,-3.6,-4.9,20.5,23.6
Brevard,-1.8,"46,840","45,978",-4.5,"203,607","194,466",39.1,9.5,13.2,-8.1,"54,840","50,416",5.2,-16.3,-13.3,-11.4,-10,-9,-12,20.9,21.9
Broward,1.4,"48,111","48,767",1.3,"751,629","761,119",23.3,11.3,13.9,-7.9,"58,552","53,926",10.9,-17.4,-13.6,-11.5,-9.1,-7.6,-8.5,25.5,28.2
Calhoun,-1.8,"31,373","30,811",-1.7,"2,908","2,859",,,,,,,,,,,,,,,20.2
Charlotte,-5.0,"37,533","35,668",5.5,"42,416","44,761",30.6,8.7,11.3,-10.7,"50,956","45,492",14.2,-24.9,-16.2,-12.3,-10.2,-11.3,-14.2,17.2,19.7
Citrus,-1.5,"36,271","35,716",-6.6,"34,025","31,793",42.8,12.3,17.6,-2.4,"41,267","40,294",23.4,-20.7,-11,-7.6,-7.5,-4,-2.2,18.1,22.4
Clay,1.2,"35,527","35,941",5.8,"44,921","47,534",60.2,8.1,13,-14.2,"68,350","58,676",19.1,-21.1,-16.3,-12.9,-8.6,-6.3,-6,14,16.7
Collier,-4.7,"47,211","44,985",1.9,"131,937","134,415",43.1,9.9,14.2,-4.9,"65,348","62,126",16.3,-18.1,-13.8,-13,-10.3,-4.9,-4.8,33.1,38.5
Columbia,-1.9,"36,328","35,620",0.6,"23,433","23,576",12.4,15.4,17.3,5.2,"45,428","47,808",28.1,-12,-10.9,-12,-10.6,1.2,12.7,16.6,21.3
DeSoto,3.5,"33,396","34,549",-6,"8,854","8,323",,23.1,,,"42,096",,-18,-19.1,-18.1,-16.1,-15.9,-25.2,-33.7,22.4,18.4
Dixie,2.6,"31,289","32,106",-4.9,"2,708","2,574",,,,,,,,,,,,,,,14.5
Duval,-0.4,"49,888","49,682",1.4,"465,731","472,443",25.1,12.7,15.9,-9.8,"54,909","49,554",23,-20,-17.4,-12.9,-9.4,-3.8,-1.6,23.2,28.6
Escambia,3.2,"39,678","40,964",-3.3,"130,245","125,981",-14.8,15.4,13.1,-6.1,"49,002","46,001",-0.6,-4.3,-4.2,-8,-7.2,-6.3,-4.9,23.5,23.3
Flagler,-5.5,"34,828","32,929",14.8,"18,439","21,160",10.5,10.7,11.9,-6,"51,997","48,864",-1.5,-5.9,-6.6,-8.2,-6.3,-5.3,-7.4,21.1,20.8
Franklin,-3.0,"31,077","30,141",-1.8,"3,391","3,330",,,,,,,,,,,,,,,30.2
